ood_tier,EXP_ID,EXP_NAME,RT_ARCHITECTURE,RT_HEAD_TYPE,protocol,K,n_runs,n_completed_model_seeds,model_seeds_present,repeat_seeds_present,n_query_mean,n_support_mean,mape_pct_mean,mape_pct_std,mape_pct_sem,mape_pct_ci95_low,mape_pct_ci95_high,mape_pct_n,r2_mean,r2_std,r2_sem,r2_ci95_low,r2_ci95_high,r2_n,mae_sec_mean,mae_sec_std,mae_sec_sem,mae_sec_ci95_low,mae_sec_ci95_high,mae_sec_n,rmse_sec_mean,rmse_sec_std,rmse_sec_sem,rmse_sec_ci95_low,rmse_sec_ci95_high,rmse_sec_n,median_ae_sec_mean,median_ae_sec_std,median_ae_sec_sem,median_ae_sec_ci95_low,median_ae_sec_ci95_high,median_ae_sec_n,spearman_mean,spearman_std,spearman_sem,spearman_ci95_low,spearman_ci95_high,spearman_n,order,name_short
new_report_low_overlap_ood,E1,M0 no PolyOmics × R0 device encoder + single head,R0_device_single,single,single_zero_shot_direct,0,60,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",-1,2028.8333333333333,0.0,70.43592803068593,44.58144671455298,5.755440022509902,59.15526558656652,81.71659047480534,60,-5.2183730962262045,5.30547479984122,0.6849338514502724,-6.5608434450687385,-3.8759027473836705,60,248.66851411668665,163.52499695144957,21.11098632938609,207.29098091108992,290.04604732228336,60,280.0882751473543,171.7311279687514,22.17039328827963,236.63430430232623,323.5422459923824,60,235.61883449554443,160.02412778647167,20.65902606361241,195.1271434108641,276.11052558022476,60,0.7097665380036503,0.14077691311133658,0.018174221333689837,0.6741450641896183,0.7453880118176823,60,1,M0-R0
new_report_low_overlap_ood,E2,M0 no PolyOmics × R1 device encoder + multitask heads,R1_device_multi,multi,frozen_backbone_kshot_new_head,5,60,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034","2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",2023.8333333333333,5.0,31.268398156676163,13.116963699421316,1.6933927320221995,27.94934840191265,34.587447911439675,60,-0.03735434449693961,0.6389237494923549,0.08248470137600966,-0.19902435919391853,0.12431567020003931,60,103.12983947008121,79.80617955178435,10.302933477616657,82.93608985395257,123.32358908620985,60,134.69109076370898,100.47931422254439,12.971823687408548,109.26631633638823,160.11586519102974,60,83.38135004043579,70.10367273863632,9.050345234157112,65.64267338148785,101.12002669938373,60,0.5498024548312072,0.252266284446778,0.03256743728239981,0.4859702777577035,0.6136346319047108,60,2,M0-R1
new_report_low_overlap_ood,E2,M0 no PolyOmics × R1 device encoder + multitask heads,R1_device_multi,multi,frozen_backbone_kshot_new_head,20,60,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034","2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",2008.8333333333333,20.0,30.4149252237785,14.948190697190446,1.9298031208717077,26.632511106869952,34.197339340687044,60,0.024759633884260977,0.5709644312938232,0.07371119112259221,-0.11971430071601977,0.1692335684845417,60,92.09592127937003,60.29815129057763,7.784457858516747,76.83838387667721,107.35345868206285,60,124.6809440372513,80.89070256728125,10.442944796869927,104.21277223538624,145.14911583911635,60,69.57864189147949,47.49053860916904,6.131002171191068,57.561877635944995,81.59540614701399,60,0.578675698176441,0.17132009426161132,0.022117329064863515,0.5353257332093085,0.6220256631435735,60,2,M0-R1
new_report_low_overlap_ood,E2,M0 no PolyOmics × R1 device encoder + multitask heads,R1_device_multi,multi,frozen_backbone_kshot_new_head,100,50,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034","2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",2325.6,100.0,25.825049155549276,18.38874418044934,2.600561141500078,20.727949318209124,30.92214899288943,50,0.4714855105007615,0.22149271094085327,0.03132379957793383,0.41009086332801115,0.5328801576735118,50,72.50303377532147,42.7323136287049,6.0432617485295115,60.658240748203625,84.34782680243931,50,100.41584407911037,60.17616734848938,8.510195199586668,83.7358614879205,117.09582667030024,50,53.53566098213196,30.559099753592868,4.321709332544334,45.065110690345065,62.00621127391885,50,0.720311017554815,0.14168083791674366,0.020036696251024312,0.6810390929028073,0.7595829422068227,50,2,M0-R1
new_report_low_overlap_ood,E2,M0 no PolyOmics × R1 device encoder + multitask heads,R1_device_multi,multi,frozen_backbone_kshot_new_head,1000,30,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034","2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",2939.3333333333335,1000.0,18.928342384714217,2.8219188022274864,0.515209527809318,17.918531710207954,19.93815305922048,30,0.7267042927789655,0.04484368952516826,0.008187300104897596,0.7106571845733662,0.7427514009845648,30,46.564203618076526,23.472024963996823,4.285385847701815,38.16484735658097,54.96355987957208,30,62.31586298946737,32.035678883492736,5.848887989826962,50.852042529406525,73.77968344952822,30,35.762179136276245,17.274123198476072,3.1538089789762114,29.580713537482872,41.94364473506962,30,0.8583423710056415,0.03742997414684365,0.006833747055687151,0.8449482267764946,0.8717365152347883,30,2,M0-R1
new_report_low_overlap_ood,E3,M0 no PolyOmics × R2 no-device + multitask heads,R2_nodevice_multi,multi,frozen_backbone_kshot_new_head,5,60,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034","2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",2023.8333333333333,5.0,32.04352890945177,13.597023210726398,1.755368148437968,28.603007338513358,35.48405048039019,60,-0.16700956419573582,0.8678904376441482,0.11204417371094841,-0.3866161446691947,0.05259701627772306,60,109.21613555222669,85.54352231442827,11.043621243323441,87.57063791531274,130.86163318914063,60,142.5926195445666,114.10199463005804,14.730504165708764,113.72083137977741,171.46440770935575,60,85.85343980789185,64.14692197008335,8.28133201668665,69.622029055186,102.08485056059769,60,0.521658260493509,0.3241662464011809,0.041849682457144786,0.43963288287750524,0.6036836381095129,60,3,M0-R2
new_report_low_overlap_ood,E3,M0 no PolyOmics × R2 no-device + multitask heads,R2_nodevice_multi,multi,frozen_backbone_kshot_new_head,20,60,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034","2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",2008.8333333333333,20.0,28.436346861292108,14.797571119110536,1.9103582169544984,24.692044756061293,32.180648966522924,60,0.17971621637795138,0.44835436244636756,0.05788229929847419,0.06626690975294197,0.2931655230029608,60,84.46277291142353,52.596845682823755,6.7902235797539285,71.15393469510583,97.77161112774122,60,114.0038737566395,69.29167957536227,8.945517367537288,96.47065971626643,131.5370877970126,60,64.40709626674652,42.02563839778774,5.4254865876122285,53.77314255502655,75.04104997846649,60,0.6178534404962098,0.16449537631327912,0.021236261766315066,0.5762303674342323,0.6594765135581874,60,3,M0-R2
new_report_low_overlap_ood,E3,M0 no PolyOmics × R2 no-device + multitask heads,R2_nodevice_multi,multi,frozen_backbone_kshot_new_head,100,50,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034","2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",2325.6,100.0,25.17813232007771,16.281089636822813,2.302493777460687,20.665244516254766,29.691020123900657,50,0.4654298284384614,0.23180247536460735,0.032781820445228295,0.401177460365814,0.5296821965111089,50,73.60385313623479,45.06910842916014,6.373734438458184,61.11133363685675,86.09637263561282,50,102.63721637428807,64.89816307524683,9.177986239411487,84.64836334504156,120.62606940353459,50,54.28290367126465,32.77226304096212,4.634697886218716,45.198895814275964,63.36691152825333,50,0.7337342772224644,0.11672975232681673,0.016508079887303656,0.7013784406433493,0.7660901138015795,50,3,M0-R2
new_report_low_overlap_ood,E3,M0 no PolyOmics × R2 no-device + multitask heads,R2_nodevice_multi,multi,frozen_backbone_kshot_new_head,1000,30,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034","2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",2939.3333333333335,1000.0,18.930212571583375,2.8667253880871177,0.5233900537426887,17.904368066247706,19.956057076919045,30,0.7217195196574274,0.04663887292506136,0.008515054252557684,0.7050300133224143,0.7384090259924405,30,46.608023433105934,22.69595326515211,4.143695189135613,38.48638086240013,54.72966600381174,30,62.612948345896484,31.500537982857196,5.75118507558639,51.34062559774716,73.8852710940458,30,35.3286406993866,16.093057338764442,2.938176841221781,29.569814090591905,41.08746730818129,30,0.8562817473963954,0.03812993925876469,0.006961542616109078,0.8426371238688216,0.8699263709239692,30,3,M0-R2
new_report_low_overlap_ood,E4,M1 RadonPy pretrain × R0 device encoder + single head,R0_device_single,single,single_zero_shot_direct,0,60,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",-1,2028.8333333333333,0.0,84.6146069763205,56.75286527730287,7.3267634022849055,70.25415070784209,98.97506324479892,60,-7.227147259291973,6.723481358489899,0.8679977109989132,-8.928422772849842,-5.525871745734103,60,288.1812183039438,186.36950682726703,24.060199872763157,241.02322655332802,335.3392100545596,60,317.5485608533833,202.86994518135222,26.19039730444629,266.2153821366686,368.88173957009803,60,278.3635619878769,183.51487834813628,23.691668920787063,231.92789090313426,324.79923307261953,60,0.7230063673325055,0.13617611714940872,0.01758026112902834,0.6885490555196099,0.757463679145401,60,4,M1-R0
