model,ood_tier,method_id,method_name,K,repeat_seed,n_total,n_total_molecules,n_support,n_support_rows,n_query,n_query_molecules,mode,unirt_seed,checkpoint,dataset_signature,support_rng_seed,head_init_seed,mae_sec,rmse_sec,medae_sec,mape_pct,r2
Uni-RT GINKAN,external_OOD,0390,CHEBI:182209,0,-1,3381,3381,0,0,3381,3381,zero_shot_source_task_ensemble,2,best_model.pth,3655bc4b1ebd43a3,,,211.44423115560065,223.58664657700163,209.74968096130803,133.50071071308432,-7.946542103525633
Uni-RT GINKAN,external_OOD,0390,CHEBI:182209,5,2004,3381,3381,5,5,3376,3376,frozen_backbone_fresh_head,2,best_model.pth,3655bc4b1ebd43a3,1115009.0,3109.0,836.6931011657996,1737.0855588288853,260.1933182057203,417.3120950358296,-538.5544810504348
Uni-RT GINKAN,external_OOD,0390,CHEBI:182209,5,2006,3381,3381,5,5,3376,3376,frozen_backbone_fresh_head,2,best_model.pth,3655bc4b1ebd43a3,1115011.0,3111.0,238.13931741474264,313.7311309060966,205.5026816595971,178.56455663317058,-16.5996698426596
Uni-RT GINKAN,external_OOD,0390,CHEBI:182209,5,2011,3381,3381,5,5,3376,3376,frozen_backbone_fresh_head,2,best_model.pth,3655bc4b1ebd43a3,1115016.0,3116.0,299.6609861333039,536.0117069032572,183.7564379714994,228.2823232658678,-50.38502478670112
Uni-RT GINKAN,external_OOD,0390,CHEBI:182209,5,2012,3381,3381,5,5,3376,3376,frozen_backbone_fresh_head,2,best_model.pth,3655bc4b1ebd43a3,1115017.0,3117.0,182.51185826052415,311.49331538567344,113.94983056598537,101.35694128137918,-16.39381457613714
Uni-RT GINKAN,external_OOD,0390,CHEBI:182209,5,2016,3381,3381,5,5,3376,3376,frozen_backbone_fresh_head,2,best_model.pth,3655bc4b1ebd43a3,1115021.0,3121.0,171.17283951850771,303.92052064526325,102.52774254838592,106.16810547313293,-15.522049073091296
Uni-RT GINKAN,external_OOD,0390,CHEBI:182209,5,2020,3381,3381,5,5,3376,3376,frozen_backbone_fresh_head,2,best_model.pth,3655bc4b1ebd43a3,1115025.0,3125.0,199.27580674898985,268.5173837821702,157.89275165124275,152.1044129457637,-11.886654710897368
Uni-RT GINKAN,external_OOD,0390,CHEBI:182209,5,2022,3381,3381,5,5,3376,3376,frozen_backbone_fresh_head,2,best_model.pth,3655bc4b1ebd43a3,1115027.0,3127.0,283.43144335748264,533.3835771140626,158.59676506690164,205.4103735576624,-49.93460438774053
Uni-RT GINKAN,external_OOD,0390,CHEBI:182209,5,2027,3381,3381,5,5,3376,3376,frozen_backbone_fresh_head,2,best_model.pth,3655bc4b1ebd43a3,1115032.0,3132.0,133.8074682161834,174.1669513836323,112.401728388166,82.03394296624893,-4.426427926007316
Uni-RT GINKAN,external_OOD,0390,CHEBI:182209,5,2032,3381,3381,5,5,3376,3376,frozen_backbone_fresh_head,2,best_model.pth,3655bc4b1ebd43a3,1115037.0,3137.0,193.75361529165875,390.7678125288223,100.07170791983388,105.51789774479847,-26.299096111116892
Uni-RT GINKAN,external_OOD,0390,CHEBI:182209,5,2034,3381,3381,5,5,3376,3376,frozen_backbone_fresh_head,2,best_model.pth,3655bc4b1ebd43a3,1115039.0,3139.0,155.2920862896993,245.2031723728729,105.82252662211512,112.24818919988569,-9.756040779651356
Uni-RT GINKAN,external_OOD,0390,CHEBI:182209,20,2004,3381,3381,20,20,3361,3361,frozen_backbone_fresh_head,2,best_model.pth,3655bc4b1ebd43a3,1115024.0,3124.0,76.69012927055186,99.70846039426492,61.98372561802458,50.80834400977461,-0.7762567588098075
Uni-RT GINKAN,external_OOD,0390,CHEBI:182209,20,2006,3381,3381,20,20,3361,3361,frozen_backbone_fresh_head,2,best_model.pth,3655bc4b1ebd43a3,1115026.0,3126.0,96.92994581132002,165.19459535368304,63.60234566627861,64.15827185680946,-3.886197394885596
Uni-RT GINKAN,external_OOD,0390,CHEBI:182209,20,2011,3381,3381,20,20,3361,3361,frozen_backbone_fresh_head,2,best_model.pth,3655bc4b1ebd43a3,1115031.0,3131.0,114.29580204884772,172.634974457603,88.00715778541289,68.53713248239622,-4.33753108148235
Uni-RT GINKAN,external_OOD,0390,CHEBI:182209,20,2012,3381,3381,20,20,3361,3361,frozen_backbone_fresh_head,2,best_model.pth,3655bc4b1ebd43a3,1115032.0,3132.0,127.03677765614046,189.41782315252593,86.73974668615801,79.53280025795021,-5.42483307135343
Uni-RT GINKAN,external_OOD,0390,CHEBI:182209,20,2016,3381,3381,20,20,3361,3361,frozen_backbone_fresh_head,2,best_model.pth,3655bc4b1ebd43a3,1115036.0,3136.0,118.76378052317683,180.2277989858249,80.40814838083134,71.46127451242408,-4.811163502528334
Uni-RT GINKAN,external_OOD,0390,CHEBI:182209,20,2020,3381,3381,20,20,3361,3361,frozen_backbone_fresh_head,2,best_model.pth,3655bc4b1ebd43a3,1115040.0,3140.0,90.31545430646686,127.73958115771867,68.63466147279146,57.96335456238552,-1.9174233062663513
Uni-RT GINKAN,external_OOD,0390,CHEBI:182209,20,2022,3381,3381,20,20,3361,3361,frozen_backbone_fresh_head,2,best_model.pth,3655bc4b1ebd43a3,1115042.0,3142.0,109.3225626409733,148.77605554187335,86.58598246833014,68.70871855853578,-2.969304860040816
Uni-RT GINKAN,external_OOD,0390,CHEBI:182209,20,2027,3381,3381,20,20,3361,3361,frozen_backbone_fresh_head,2,best_model.pth,3655bc4b1ebd43a3,1115047.0,3147.0,66.46749601984229,88.45972972090458,53.88431429807764,44.63308832884806,-0.4001907213796527
Uni-RT GINKAN,external_OOD,0390,CHEBI:182209,20,2032,3381,3381,20,20,3361,3361,frozen_backbone_fresh_head,2,best_model.pth,3655bc4b1ebd43a3,1115052.0,3152.0,113.76559163922036,147.67682319918657,96.97774937201147,65.60529374102299,-2.901009892651646
Uni-RT GINKAN,external_OOD,0390,CHEBI:182209,20,2034,3381,3381,20,20,3361,3361,frozen_backbone_fresh_head,2,best_model.pth,3655bc4b1ebd43a3,1115054.0,3154.0,112.41013096297289,364.6582949768604,76.65373670964811,76.75662811975387,-22.757585208294618
Uni-RT GINKAN,external_OOD,0390,CHEBI:182209,100,2004,3381,3381,100,100,3281,3281,frozen_backbone_fresh_head,2,best_model.pth,3655bc4b1ebd43a3,1115104.0,3204.0,73.57047098053513,159.6419785866599,46.72630745553403,51.39587922020438,-3.544745243377025
Uni-RT GINKAN,external_OOD,0390,CHEBI:182209,100,2006,3381,3381,100,100,3281,3281,frozen_backbone_fresh_head,2,best_model.pth,3655bc4b1ebd43a3,1115106.0,3206.0,53.77197981132116,73.57684039503674,41.130116462744354,34.62423162314209,0.0394312101035201
Uni-RT GINKAN,external_OOD,0390,CHEBI:182209,100,2011,3381,3381,100,100,3281,3281,frozen_backbone_fresh_head,2,best_model.pth,3655bc4b1ebd43a3,1115111.0,3211.0,59.09889869977662,81.02184501906149,44.9021897969732,39.15350521742999,-0.170169897616123
Uni-RT GINKAN,external_OOD,0390,CHEBI:182209,100,2012,3381,3381,100,100,3281,3281,frozen_backbone_fresh_head,2,best_model.pth,3655bc4b1ebd43a3,1115112.0,3212.0,142.04043642334975,910.8105856645784,54.49411984220663,101.90291045665728,-147.36706553776727
Uni-RT GINKAN,external_OOD,0390,CHEBI:182209,100,2016,3381,3381,100,100,3281,3281,frozen_backbone_fresh_head,2,best_model.pth,3655bc4b1ebd43a3,1115116.0,3216.0,60.67299077235596,84.421256798018,44.63584285673504,41.392268901358314,-0.268520962555216
Uni-RT GINKAN,external_OOD,0390,CHEBI:182209,100,2020,3381,3381,100,100,3281,3281,frozen_backbone_fresh_head,2,best_model.pth,3655bc4b1ebd43a3,1115120.0,3220.0,64.60627142660074,86.84575799248809,50.08446583498045,42.87701548964365,-0.3462062831516685
Uni-RT GINKAN,external_OOD,0390,CHEBI:182209,100,2022,3381,3381,100,100,3281,3281,frozen_backbone_fresh_head,2,best_model.pth,3655bc4b1ebd43a3,1115122.0,3222.0,75.02453566388982,124.30949098359343,52.60626071714146,49.85624280983408,-1.7573092653623426
Uni-RT GINKAN,external_OOD,0390,CHEBI:182209,100,2027,3381,3381,100,100,3281,3281,frozen_backbone_fresh_head,2,best_model.pth,3655bc4b1ebd43a3,1115127.0,3227.0,69.73157136324875,94.43923824738692,54.51781913315898,48.1471536846177,-0.5974151362762601
Uni-RT GINKAN,external_OOD,0390,CHEBI:182209,100,2032,3381,3381,100,100,3281,3281,frozen_backbone_fresh_head,2,best_model.pth,3655bc4b1ebd43a3,1115132.0,3232.0,68.95461540144113,103.23246186357454,50.54938997350365,44.73963958545759,-0.9010072164994798
Uni-RT GINKAN,external_OOD,0390,CHEBI:182209,100,2034,3381,3381,100,100,3281,3281,frozen_backbone_fresh_head,2,best_model.pth,3655bc4b1ebd43a3,1115134.0,3234.0,68.37346003874814,121.6741769214642,46.03187155922927,41.14831711249277,-1.6397666119166323
Uni-RT GINKAN,external_OOD,0390,CHEBI:182209,1000,2004,3381,3381,1000,1000,2381,2381,frozen_backbone_fresh_head,2,best_model.pth,3655bc4b1ebd43a3,1116004.0,4104.0,37.41816979424499,50.51388107758228,28.518642670761665,26.17048137620856,0.5236667071431911
