model,ood_tier,method_id,method_name,K,n_runs,seeds_present,n_query_mean,mae_sec_mean,mae_sec_std,rmse_sec_mean,rmse_sec_std,medae_sec_mean,medae_sec_std,mape_pct_mean,mape_pct_std,r2_mean,r2_std
Uni-RT GINKAN,external_OOD,0390,CHEBI:182209,0,1,-1,3381.0,211.44423115560065,,223.58664657700163,,209.74968096130803,,133.50071071308432,,-7.946542103525633,
Uni-RT GINKAN,external_OOD,0390,CHEBI:182209,5,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",3376.0,269.3738522396892,206.33175756803067,481.4281129850736,456.38985911622456,150.07154905994474,53.655386324568404,168.89988381037392,100.11832879312138,-73.97578632444375,164.0060377240383
Uni-RT GINKAN,external_OOD,0390,CHEBI:182209,20,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",3361.0,102.59976708795125,19.497169210935443,168.44941369404455,76.52446421864792,76.34775684575644,13.839566195483329,64.81649064299009,10.974218553156408,-5.01814957976926,6.448549498332267
Uni-RT GINKAN,external_OOD,0390,CHEBI:182209,100,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",3281.0,73.58452305812672,24.947520961633447,183.99736324718617,256.68648805309374,48.5678383632207,4.559462480134135,49.523716410083786,19.09613155870806,-15.655277494441851,46.2912377765075
Uni-RT GINKAN,external_OOD,0390,CHEBI:182209,1000,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",2381.0,40.55810748470857,3.471294901259926,57.09990973034504,7.987500737996474,30.44949593733528,2.546197612298049,27.441675732955293,2.099295142528109,0.40645809722581,0.17348367629232983
Uni-RT GINKAN,external_OOD,0391,ticlopidine,0,1,-1,6541.0,194.03177395051128,,204.4512078928161,,195.99092065953593,,120.85555008477932,,-6.536976258224864,
Uni-RT GINKAN,external_OOD,0391,ticlopidine,5,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",6536.0,250.21512819836167,95.37423874252956,500.3697344036215,303.786634094793,142.38416239071935,31.45701742236768,143.61494184877546,52.66402178091292,-59.11165915110799,67.95250950768116
Uni-RT GINKAN,external_OOD,0391,ticlopidine,20,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",6521.0,120.66549554487194,22.72081127657343,175.33722743194815,40.08380095504268,88.84565191960242,12.809515805903489,77.67671017507183,15.083847669061566,-4.806972478747071,2.699084755298173
Uni-RT GINKAN,external_OOD,0391,ticlopidine,100,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",6441.0,72.30785158894045,6.126699104204678,113.64136691806398,38.64203828933795,55.253575323364906,2.927115504956693,46.48766695490374,2.7867766462674033,-1.5675663296464297,2.1043741863606797
Uni-RT GINKAN,external_OOD,0391,ticlopidine,1000,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",5541.0,45.91893939429974,3.789250125784824,60.81987922734559,4.804792913791966,37.103734512996056,3.1249940422022577,31.25573999927201,2.475517863724597,0.3279289914493739,0.10723157495048881
